problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
sinc_well,2,DE,30,-19.96668332936563,-19.96668332936563,-19.966683329365633,3.613448226613569e-15,-19.96668332936563,0.0,1.0,1725.0,10000.0,0.012240957499974078
sinc_well,2,GA,30,-19.96668332936563,-19.96668332936563,-19.966598903438936,0.0002426924152439684,-19.96568694605921,8.442592669671475e-05,0.8666666666666667,875.0,10000.0,0.01069366616663198
sinc_well,2,PSO,30,-19.966683329365566,-19.96668332936063,-19.966683329354446,1.1963764691227444e-11,-19.966683329320837,1.1179324133081536e-11,1.0,2600.0,10000.0,0.006503337766571349
sinc_well,2,Random,30,-19.96216776134968,-19.938939976585495,-19.92622031847629,0.03580468814564989,-19.792203633247524,0.040463010889339894,0.0,nan,10000.0,0.003859600633343992
six_hump_camel,2,CDA,30,-1.0316284534549638,-1.0316284504709896,-1.0316284073527426,1.2654106989929145e-07,-1.0316278922797926,4.6137134290802353e-08,1.0,3694.0,7283.466666666666,0.0019665244667824784
six_hump_camel,2,CDA (tuned),30,-1.0316265849609294,-1.0316042848199602,-1.03157901330343,5.097354878158874e-05,-1.0314133574306792,4.944018644717681e-05,0.7333333333333333,6654.5,10000.0,0.0017917254666826921
six_hump_camel,2,DE,30,-1.0316284534898774,-1.0316284534898774,-1.0316284534898772,2.2584051416334807e-16,-1.0316284534898774,4.440892098500626e-16,1.0,1250.0,10000.0,0.012607191533273483
six_hump_camel,2,GA,30,-1.0316284534898774,-1.0316284534898774,-1.0316229098645604,2.2455185846826573e-05,-1.0315111253423515,5.54362531706154e-06,0.9666666666666667,500.0,10000.0,0.011586755366624856
six_hump_camel,2,PSO,30,-1.0316284534898774,-1.0316284534898774,-1.0316284534898772,2.2584051416334807e-16,-1.0316284534898774,4.440892098500626e-16,1.0,1250.0,10000.0,0.006833273533326671
six_hump_camel,2,Random,30,-1.031478401952661,-1.0298571006544779,-1.029593231341026,0.001382387902749357,-1.025872268393648,0.0020352221488508277,0.0,nan,10000.0,0.004161696766702031
sphere_10d,10,CDA,30,0.07155521549769668,0.17178264337899618,0.19306790851680752,0.09532677505204218,0.5213675950960615,0.19306790851680752,0.0,nan,9834.966666666667,0.004307579933477731
